iter	Passed	Remaining
0	147	443713
1	167	250597
2	180	180649
3	196	146907
4	212	127278
5	227	113388
6	240	102987
7	254	95294
8	268	89080
9	282	84370
10	296	80503
11	308	76697
12	321	73833
13	342	73003
14	363	72332
15	386	72027
16	403	70777
17	415	68884
18	427	67046
19	439	65481
20	451	64080
21	463	62755
22	475	61536
23	487	60486
24	499	59483
25	511	58508
26	522	57574
27	534	56697
28	545	55889
29	558	55256
30	569	54530
31	580	53827
32	591	53160
33	602	52572
34	614	52051
35	624	51437
36	636	50945
37	652	50864
38	670	50935
39	689	51042
40	709	51206
41	722	50879
42	736	50629
43	749	50323
44	760	49941
45	778	50019
46	801	50340
47	825	50784
48	844	50863
49	859	50715
50	872	50470
51	883	50115
52	894	49735
53	905	49416
54	916	49088
55	927	48768
56	938	48476
57	949	48171
58	961	47935
59	973	47683
60	984	47435
61	996	47227
62	1007	46987
63	1018	46731
64	1029	46468
65	1040	46250
66	1052	46058
67	1063	45860
68	1076	45711
69	1087	45533
70	1098	45327
71	1110	45140
72	1121	44951
73	1139	45070
74	1160	45263
75	1178	45327
76	1192	45263
77	1204	45105
78	1215	44946
79	1229	44862
80	1241	44723
81	1252	44580
82	1263	44419
83	1274	44250
84	1285	44082
85	1296	43926
86	1307	43787
87	1318	43639
88	1330	43509
89	1342	43397
90	1353	43266
91	1363	43107
92	1375	42991
93	1385	42846
94	1397	42730
95	1408	42610
96	1419	42471
97	1430	42370
98	1443	42290
99	1453	42158
100	1464	42038
101	1475	41932
102	1487	41829
103	1498	41739
104	1509	41632
105	1521	41550
106	1533	41466
107	1545	41384
108	1557	41307
109	1570	41274
110	1582	41191
111	1594	41111
112	1606	41048
113	1617	40957
114	1630	40891
115	1641	40813
116	1653	40742
117	1665	40669
118	1677	40622
119	1689	40546
120	1699	40444
121	1710	40348
122	1721	40263
123	1731	40162
124	1743	40100
125	1754	40020
126	1765	39939
127	1775	39846
128	1786	39765
129	1798	39700
130	1808	39611
131	1820	39549
132	1831	39470
133	1841	39390
134	1852	39324
135	1863	39232
136	1873	39155
137	1884	39081
138	1894	38992
139	1905	38918
140	1915	38842
141	1926	38774
142	1937	38703
143	1948	38642
144	1959	38582
145	1970	38513
146	1981	38454
147	1992	38405
148	2004	38350
149	2015	38288
150	2025	38217
151	2036	38155
152	2047	38091
153	2057	38029
154	2068	37966
155	2078	37894
156	2089	37840
157	2101	37797
158	2112	37747
159	2123	37690
160	2134	37630
161	2144	37573
162	2155	37520
163	2166	37467
164	2176	37404
165	2187	37352
166	2199	37310
167	2209	37247
168	2221	37217
169	2232	37158
170	2244	37128
171	2256	37108
172	2268	37066
173	2278	37005
174	2290	36973
175	2301	36922
176	2311	36860
177	2322	36817
178	2332	36759
179	2343	36711
180	2353	36658
181	2364	36610
182	2374	36557
183	2385	36511
184	2396	36462
185	2407	36416
186	2418	36373
187	2428	36325
188	2441	36309
189	2453	36291
190	2465	36256
191	2476	36216
192	2488	36197
193	2500	36173
194	2511	36129
195	2522	36088
196	2532	36033
197	2542	35981
198	2553	35946
199	2565	35916
200	2576	35872
201	2586	35833
202	2598	35796
203	2609	35772
204	2620	35729
205	2631	35689
206	2642	35652
207	2653	35614
208	2663	35566
209	2674	35528
210	2684	35483
211	2695	35445
212	2705	35400
213	2715	35355
214	2725	35308
215	2736	35270
216	2747	35240
217	2758	35202
218	2769	35163
219	2779	35124
220	2790	35088
221	2800	35046
222	2811	35011
223	2821	34965
224	2832	34932
225	2842	34892
226	2852	34851
227	2863	34810
228	2873	34767
229	2883	34732
230	2894	34699
231	2904	34659
232	2914	34614
233	2925	34577
234	2934	34528
235	2944	34488
236	2954	34448
237	2964	34406
238	2975	34371
239	2986	34340
240	2996	34306
241	3007	34275
242	3017	34237
243	3028	34203
244	3038	34167
245	3049	34143
246	3061	34125
247	3073	34104
248	3084	34075
249	3094	34042
250	3105	34015
251	3116	33989
252	3127	33958
253	3138	33927
254	3149	33901
255	3160	33874
256	3170	33843
257	3182	33819
258	3193	33801
259	3204	33772
260	3215	33740
261	3226	33715
262	3236	33682
263	3247	33657
264	3258	33628
265	3269	33599
266	3279	33572
267	3290	33545
268	3301	33515
269	3311	33487
270	3323	33464
271	3333	33434
272	3344	33405
273	3354	33374
274	3365	33345
275	3376	33323
276	3387	33296
277	3398	33279
278	3410	33257
279	3420	33230
280	3431	33207
281	3442	33181
282	3453	33153
283	3464	33132
284	3475	33107
285	3487	33090
286	3497	33059
287	3508	33035
288	3519	33010
